20200209-002633	INFO	[®Æt vËt phÈm vµo r­¬ng] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:CÈm Nang §¹i Sù KiÖn]
20200209-003954	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-004023	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-004038	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:NhÉn V« Cùc]
20200209-004613	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:L­u V©n Kú L©n Thó]
20200209-004641	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Long tö Ên]
20200209-004641	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Phông tö Ên]
20200209-004641	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Hæ tö Ên]
20200209-004641	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:¦ng tö Ên]
20200209-004641	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Vâ l©m thËp nhŞ sø]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Qu¸n]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Trang]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Bµo]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn T¶ Giíi]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn H÷u Giíi]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Béi]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Trôy]
20200209-004723	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:Th«ng Thiªn Thñ]
20200209-004727	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:H¾c B¹ch V« Song Qu¸]
20200209-004727	INFO	[vËt phÈm lªn tay ng­êi ch¬i] [Tµi kho¶n : an] [Nh©n vËt: ioNaruto][Tªn vËt phÈm:H¾c B¹ch V« Song Tra]
