20200206-004448	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:GM Item]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hๆ Phธch Thนch Cสp 1]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hๆ Phธch Thนch Cสp 2]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hๆ Phธch Thนch Cสp 3]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hๆ Phธch Thนch Cสp 4]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hๆ Phธch Thนch Cสp 7]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hพc Diึu Thนch Cสp 1]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hพc Diึu Thนch Cสp 2]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hพc Diึu Thนch Cสp 3]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hพc Diึu Thนch Cสp 4]
20200206-004457	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hพc Diึu Thนch Cสp 7]
20200206-004516	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Lญu Vฉn K๚ Lฉn Th๓]
20200206-004516	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Chiีn Tญ๎ng]
20200206-004516	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Long Mท]
20200206-004516	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:C๖u VÜ Tuyีt Hๅ]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004617	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:T่ng_Uy Hๆ Nguyชn So]
20200206-004714	ERR!	[playerattr abnormal][Account: an1][RoleName: zzzzzzzz][Level: 99][Attr: 1,1,1,1,1 - 1 (1004)][Task: 0]
20200206-004714	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Cศm Nang งนi S๙ Kiึn]
20200206-004714	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Nguyึt Lญ๎ng Th่ luy]
20200206-004714	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Tiีu ngนo giang hๅ l]
20200206-004714	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:B๘c thญ thวn bÝ]
20200206-004727	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:GM Item]
20200206-004739	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Tr๏ng Quธi Vญฌng]
20200206-004739	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hแa K๚ Lฉn]
20200206-004739	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Huyาn Vโ งao]
20200206-004739	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:XÝch Luyึn Hแa Hๅ]
20200206-004739	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Liึt Nhan Li Long]
20200206-004753	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Huyาn Minh Phong Ma ]
20200206-004753	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Lจng Ba Vi B้ toตn t]
20200206-004753	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Mหt TÞch Tiชu Dao]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Trฉm]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Trang]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Bตo]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Tถ Giํi]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn H๗u Giํi]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn B้i]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Tr๔y]
20200206-004817	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Thซng Thiชn Song งao]
20200206-004914	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an1] [Nhฉn vหt: zzzzzzzz][Tชn vหt phศm:Hiึp Thiีu H้ Uyำn]
20200206-005259	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Tiาm Long T๓c Diึt C]
20200206-005259	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Lจng Ba Vi B้ toตn t]
20200206-005259	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Mหt TÞch Tiชu Dao]
20200206-005331	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Nhษn Vซ C๙c]
20200206-005331	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Minh Tinh Chi Giํi]
20200206-005331	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Nhษn Vซ C๙c]
20200206-005331	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Minh Tinh Chi Giํi]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005341	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Diึp Thญ๎ng Thu Phon]
20200206-005359	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Thiชn V๒ Cต Sa (Nใn)]
20200206-005359	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Thiชn V๒ Cต Sa (?o)]
20200206-005359	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Thiชn V๒ Cต Sa (Quวn]
20200206-005359	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Thiชn V๒ Cต Sa (Nใn)]
20200206-005359	INFO	[vหt phศm lชn tay ngญ๊i chฌi] [Tตi khoถn : an] [Nhฉn vหt: ioNaruto][Tชn vหt phศm:Thiชn V๒ Cต Sa (?o)]
