_remark	LineId	MainName	SubName	MainId	SubId
§¹i th­¬ng mua ®å tiªu hao tæng sè vµng	162	IBConsume	BigBoss BuyStall	9	28
C«ng nh©n b¸n hµng nhËn ®­îc tæng sè vµng	163	IBConsume	XiaoBai  SellStall	9	29
B×nh d©n b¸n hµng nhËn ®­îc tæng sè vµng	164	IBConsume	BaiXing SellStall	9	30
Ng­êi lµm nghÒ tù do b¸n hµng nhËn ®­îc tæng sè vµng	165	IBConsume	LanLing SellStall	9	31
Nh©n viªn v¨n phßng b¸n hµng nhËn ®­îc tæng sè vµng	166	IBConsume	BaiLing SellStall	9	32
TiÓu th­¬ng b¸n hµng nhËn ®­îc tæng sè vµng	167	IBConsume	LittleBoss SellStall	9	33
Trung th­¬ng b¸n hµng nhËn ®­îc tæng sè vµng	168	IBConsume	MiddleBoss SellStall	9	34
§¹i th­¬ng b¸n hµng nhËn ®­îc tæng sè vµng	169	IBConsume	BigBoss SellStall	9	35
Tæng sè l­îng gi¸ c¶ giao dÞch item quan träng	170	IBConsume	Core Item Stall Total Price	9	36
Sè l­îng giao dÞch item quan träng	170	IBConsume	Core Item Stall Num	9	37
Sè trËn më chiÕn tr­êng	171	KFBattle	OpenCount	10	1
Sè trËn më chiÕn ®Êu	172	KFBattle	StartCount	10	2
Sè trËn ch­a më	173	KFBattle	NoStartCount	10	3
Nh©n sè khi b¾t ®Çu chiÕn ®Êu	174	KFBattle	PlayerCountWhenStart	10	4
Nh©n sè 80-89 khi b¾t ®Çu chiÕn ®Êu	175	KFBattle	80-89PlayerCountWhenStart	10	5
Nh©n sè 90-99 khi b¾t ®Çu chiÕn ®Êu	176	KFBattle	90-99PlayerCountWhenStart	10	6
Nh©n sè ®· chuyÓn sinh khi b¾t ®Çu chiÕn ®Êu	177	KFBattle	TransPlayerCountWhenStart	10	7
Nh©n sè khi kÕt thóc chiÕn ®Êu	178	KFBattle	PlayerCountWhenEnd	10	8
Sè lÇn b¸o danh c¸ nh©n	179	KFBattle	SingleSignCount	10	9
Sè lÇn b¸o danh tæ ®éi	180	KFBattle	TeamSighCount	10	10
Sè lÇn tö vong ng­êi ch¬i pk	181	KFBattle	PKDieCount	10	11
Sè lÇn bªn Tèng th¾ng	182	KFBattle	SongWinCount	10	12
Sè lÇn bªn Liªu th¾ng	183	KFBattle	LiaoWinCount	10	13
Sè lÇn hßa	184	KFBattle	PingJuCount	10	14
XX sè l­u ph¸i tham chiÕn	185	KFBattle	RoutePlayerJoinCount	10	15
XX sè l­u ph¸i kÝch s¸t	186	KFBattle	RouteKillCount	10	16
XX sè l­îng l­u ph¸i bÞ kÝch s¸t	187	KFBattle	RouteDieCount	10	17
XX sè l­îng l­u ph¸i ®o¹t kú	188	KFBattle	RouteCapFlagCount	10	18
§é n¨ng ®éng 0 sè lÇn ph¸t ra	189	KFBattle	AwardActive0Count	10	19
§é n¨ng ®éng 1_9 sè lÇn ph¸t ra	190	KFBattle	AwardActive1-9Count	10	20
§é n¨ng ®éng 10_39 sè lÇn ph¸t ra	191	KFBattle	AwardActive10-39Count	10	21
§é n¨ng ®éng 40_199 sè lÇn ph¸t ra	192	KFBattle	AwardActive10-199Count	10	22
§é n¨ng ®éng 200+ sè lÇn ph¸t ra	193	KFBattle	AwardActive200+Count	10	23
Sè lÇn nhËn th­ëng sö dông qu©n c«ng ch­¬ng	194	KFBattle	AwardByJunGongZhangCount	10	24
Sè lÇn nhËn th­ëng sö dông qu©n c«ng ®¹i	195	KFBattle	AwardByDaJunGongZhangCount	10	25
Sè lÇn nhËn th­ëng sö dông qu©n c«ng huy hoµng	196	KFBattle	AwardByHuiHuangJunGongZhangCount	10	26
Sè trËn më chiÕn tr­êng	197	TiamMenZhen	OpenCount	11	1
Sè trËn më chiÕn ®Êu	198	TiamMenZhen	StartCount	11	2
Sè trËn ch­a më	199	TiamMenZhen	NoStartCount	11	3
Nh©n sè khi b¾t ®Çu chiÕn ®Êu	200	TiamMenZhen	PlayerCountWhenStart	11	4
Nh©n sè 80-89 khi b¾t ®Çu chiÕn ®Êu	201	TiamMenZhen	80-89PlayerCountWhenStart	11	5
Nh©n sè 90-99 khi b¾t ®Çu chiÕn ®Êu	202	TiamMenZhen	90-99PlayerCountWhenStart	11	6
Nh©n sè ®· chuyÓn sinh khi b¾t ®Çu chiÕn ®Êu	203	TiamMenZhen	TransPlayerCountWhenStart	11	7
Nh©n sè khi kÕt thóc chiÕn ®Êu	204	TiamMenZhen	PlayerCountWhenEnd	11	8
Sè lÇn b¸o danh c¸ nh©n	205	TiamMenZhen	SingleSignCount	11	9
Sè lÇn b¸o danh tæ ®éi	206	TiamMenZhen	TeamSighCount	11	10
Sè lÇn tö vong ng­êi ch¬i pk	207	TiamMenZhen	PKDieCount	11	11
Sè lÇn bªn Tèng th¾ng	208	TiamMenZhen	SongWinCount	11	12
Sè lÇn bªn Liªu th¾ng	209	TiamMenZhen	LiaoWinCount	11	13
Sè lÇn hßa	210	TiamMenZhen	PingJuCount	11	14
XX sè l­u ph¸i tham chiÕn	211	TiamMenZhen	RoutePlayerJoinCount	11	15
XX sè l­u ph¸i kÝch s¸t	212	TiamMenZhen	RouteKillCount	11	16
XX sè l­îng l­u ph¸i bÞ kÝch s¸t	213	TiamMenZhen	RouteDieCount	11	17
XX sè l­îng l­u ph¸i ®o¹t kú	214	TiamMenZhen	RouteCapFlagCount	11	18
Nh©n sè ®é n¨ng ®éng h¹ ®¼ng	215	TiamMenZhen	AwardActiveXiaDengCount	11	19
Nh©n sè ®é n¨ng ®éng trung h¹ ®¼ng	216	TiamMenZhen	AwardActiveZhongXiaDengCount	11	20
Nh©n sè ®é n¨ng ®éng trung ®¼ng	217	TiamMenZhen	AwardActiveZhongDengCount	11	21
Nh©n sè ®é n¨ng ®éng trung th­îng ®¼ng	218	TiamMenZhen	AwardActiveZhongShangDengCount	11	22
Nh©n sè ®é n¨ng ®éng th­îng ®¼ng	219	TiamMenZhen	AwardActiveShangDengCount	11	23
Nh©n sè ®é n¨ng ®éng th­îng th­îng ®¼ng	220	TiamMenZhen	AwardActiveShangShangDengCount	11	24
Sè lÇn nhËn th­ëng sö dông qu©n c«ng ch­¬ng	221	TiamMenZhen	AwardByJunGongZhangCount	11	25
Sè lÇn nhËn th­ëng sö dông qu©n c«ng ®¹i	222	TiamMenZhen	AwardByDaJunGongZhangCount	11	26
Sè lÇn nhËn th­ëng sö dông qu©n c«ng huy hoµng	223	TiamMenZhen	AwardByHuiHuangJunGongZhangCount	11	27
Sè bang héi tham gia lo¹n chiÕn bang héi	224	TongMelee	TongMeleeTongCount	12	1
Sè ng­êi tham gia lo¹n chiÕn bang héi	225	TongMelee	TongMeleePlayerCount	12	2
Sè l­îng giao dÞch item quan träng	226	Trade	Core Item Trade Num	13	1
Thiªn Cang LÖnh	227	Item Combine	TianGangLing_from_TianGangSuiPian	14	1
Thiªn M«n Kim LÖnh	228	Item Combine	TianMenJinLing_from_TianMenSuiPian	14	2
§¹i hång bao hoµng kim	229	Item Combine	HuangJinDaHongBao	14	3
 nguån ra L«i Hæ tinh ph¸ch bang ph¸i ®¹i lo¹n ®Êu 	230	TongMelee	TongMeleeLHJP	12	3
Tû lÖ th¾ng khi ®¬n ®Êu cña l­u ph¸i	231	PKStat	1V1RouteWinCnt	15	1
Tû lÖ th¾ng khi ®¬n ®Êu cña l­u ph¸i	232	PKStat	1V1RouteVsCnt	15	2
Tû lÖ th¾ng khi ®¬n ®Êu cña l­u ph¸i	233	PKStat	PKRouteWinCnt	15	3
Tû lÖ th¾ng khi ®¬n ®Êu cña l­u ph¸i	234	PKStat	PKRouteVsCnt	15	4
Sè l­îng t¨ng cña vËt phÈm	235	GoldEarn	GoldAdd	16	1
Sè l­îng t¨ng cña vËt phÈm	237	GoldPay	GoldPay	16	2
Sè l­îng t¨ng cña vËt phÈm	239	Item	AddCount	16	3
Sè l­îng t¨ng cña vËt phÈm	240	Item	DelCount	16	4
Sè ng­êi dïng TiÒn May M¾n më r­¬ng	241	LuckyBox	UseFreePlayerCount	17	1
Sè ng­êi dïng TiÒn May M¾n më r­¬ng 8 lÇn	242	LuckyBox	UseFree8PlayerCount	17	2
Sè ng­êi dïng Thiªn Kiªu LÖnh më r­¬ng	243	LuckyBox	UseIBPlayerCount	17	3
Sè lÇn tiªu hao TiÒn May M¾n trong ngµy	244	LuckyBox	CostFreeCount	17	4
Sè lÇn tiªu hao Thiªn Kiªu LÖnh trong ngµy (Më mét lÇn)	245	LuckyBox	CostIBOne	17	5
Sè lÇn tiªu hao Thiªn Kiªu LÖnh trong ngµy (Më nhiÒu lÇn)	246	LuckyBox	CostIBTwo	17	6
Sè l­îng nhËn ®­îc Thiªn Cang LÖnh trong ngµy (MiÔn phÝ)	247	LuckyBox	GetFreeTGL	17	7
Sè l­îng nhËn ®­îc Thiªn M«n Kim LÖnh trong ngµy (MiÔn phÝ)	248	LuckyBox	GetFreeTMJL	17	8
Sè l­îng nhËn ®­îc L«i Hæ Tinh Ph¸ch trong ngµy (MiÔn phÝ)	249	LuckyBox	GetFreeLHJP	17	9
Sè l­îng nhËn ®­îc Thiªn Cang LÖnh trong ngµy (Thu phÝ)	250	LuckyBox	GetIBTGL	17	10
Sè l­îng nhËn ®­îc Thiªn M«n Kim LÖnh trong ngµy (Thu phÝ)	251	LuckyBox	GetIBTMJL	17	11
Sè l­îng nhËn ®­îc L«i Hæ Tinh Ph¸ch trong ngµy (Thu phÝ)	252	LuckyBox	GetIBLHJP	17	12
Tæng sè lÇn më PhÇn Thiªn L©m	253	TYT	TotalOpenCount	18	1
Sè lÇn sö dông tinh lùc vµo PhÇn Thiªn L©m	254	TYT	UseEneryJoinTYT	18	2
Sè lÇn sö dông Thiªn Kiªu vµo PhÇn Thiªn L©m	255	TYT	UseIBJoinTYT	18	3
Sè lÇn 8 l­u ph¸i kh¸c nhau vµo PhÇn Thiªn L©m	256	TYT	Route8JoinTYT	18	4
Sè l­îng Thiªn Kiªu LÖnh do PhÇn Thiªn L©m tiªu hao	257	TYT	StaticCostIB_Nor|YX	18	5
Sè lÇn lo¹i trang bÞ kh¸c nhau bÞ t¸ch	258	EquipRecycle	EquipRecycleGroupID	19	1
Sè lÇn cÊp c­êng hãa trang bÞ kh¸c nhau bÞ t¸ch	259	EquipRecycle	EquipRecycleEnhance	19	2
Sè l­îng ph¸t phÇn th­ëng ®ñ 10 trËn h»ng tuÇn	260	1V1	Week10Award	20	1
Sè l­îng ph¸t phÇn th­ëng xÕp h¹ng h»ng tuÇn	261	1V1	WeekRankAward	20	2
Sè l­îng ph¸t phÇn th­ëng h¹ng x cña mïa gi¶i	262	1V1	SeasonAward	20	3
Tæng R­¬ng §¹i Héi Tû Vâ	263	1V1	1V1BoxCnt	20	4
R­¬ng §¹i Héi Tû Vâ ®· më	264	1V1	1V1BoxOpenCntFree|IB	20	5
Tæng R­¬ng Phong Th­ëng S­ M«n	265	1V1	SeasonBoxCnt	20	6
R­¬ng Phong Th­ëng S­ M«n ®· më	266	1V1	SeasonBoxOpenCntFree|IB	20	7
Sè lÇn më CÈm Nang §¸ Quý	267	Gem	GemBoxOpenItem|NpcCnt	21	1
Sè lÇn ghÐp ®¸ quý	268	Gem	GemComposeCntExt=	21	2
Sè lÇn ®ôc lç|Kh¶m ®¸ quý	269	Gem	Hole|InsertCnt	21	3
Tæng sè lÇn rót th¨m ­u ®·i h»ng ngµy	270	GemBox	GemBoxFreeCount	17	13
Tæng sè ng­êi tham gia rót th¨m ­u ®·i h»ng ngµy	271	GemBox	GemBoxFreePlayerCount	17	14
Tæng sè lÇn rót th¨m may m¾n h»ng ngµy	272	GemBox	GemBoxIBCount	17	15
Tæng sè ng­êi tham gia rót th¨m may m¾n h»ng ngµy	273	GemBox	GemBoxIBPlayerCount	17	16
Sè lÇn më ¶i 1 PhÇn Thiªn L©m-Th­êng	274	TYT	OpenPTState1	18	6
Sè lÇn v­ît qua ¶i 1 PhÇn Thiªn L©m-Th­êng	275	TYT	CrossPTState1	18	7
Sè lÇn më ¶i 2 PhÇn Thiªn L©m-Th­êng	276	TYT	OpenPTState2	18	8
Sè lÇn v­ît qua ¶i 2 PhÇn Thiªn L©m-Th­êng	277	TYT	CrossPTState2	18	9
Sè lÇn më ¶i 3 PhÇn Thiªn L©m-Th­êng	278	TYT	OpenPTState3	18	10
Sè lÇn v­ît qua ¶i 3 PhÇn Thiªn L©m-Th­êng	279	TYT	CrossPTState3	18	11
Sè lÇn më ¶i 1 Th¸i NhÊt Th¸p-Th­êng	280	TYT	OpenPTState4	18	12
Sè lÇn v­ît qua ¶i 1 Th¸i NhÊt Th¸p-Th­êng	281	TYT	CrossPTState4	18	13
Sè lÇn më ¶i 2 Th¸i NhÊt Th¸p-Th­êng	282	TYT	OpenPTState5	18	14
Sè lÇn v­ît qua ¶i 2 Th¸i NhÊt Th¸p-Th­êng	283	TYT	CrossPTState5	18	15
Sè lÇn më ¶i 3 Th¸i NhÊt Th¸p-Th­êng	284	TYT	OpenPTState6	18	16
Sè lÇn v­ît qua ¶i 3 Th¸i NhÊt Th¸p-Th­êng	285	TYT	CrossPTState6	18	17
Sè lÇn më ¶i 1 PhÇn Thiªn L©m-Anh Hïng	286	TYT	OpenYXState1	18	18
Sè lÇn v­ît qua ¶i 1 PhÇn Thiªn L©m-Anh Hïng	287	TYT	CrossYXState1	18	19
Sè lÇn më ¶i 2 PhÇn Thiªn L©m-Anh Hïng	288	TYT	OpenYXState2	18	20
Sè lÇn v­ît qua ¶i 2 PhÇn Thiªn L©m-Anh Hïng	289	TYT	CrossYXState2	18	21
Sè lÇn më ¶i 3 PhÇn Thiªn L©m-Anh Hïng	290	TYT	OpenYXState3	18	22
Sè lÇn v­ît qua ¶i 3 PhÇn Thiªn L©m-Anh Hïng	291	TYT	CrossYXState3	18	23
Sè lÇn më ¶i 1 Th¸i NhÊt Th¸p-Anh Hïng	292	TYT	OpenYXState4	18	24
Sè lÇn v­ît qua ¶i 1 Th¸i NhÊt Th¸p-Anh Hïng	293	TYT	CrossYXState4	18	25
Sè lÇn më ¶i 2 Th¸i NhÊt Th¸p-Anh Hïng	294	TYT	OpenYXState5	18	26
Sè lÇn v­ît qua ¶i 2 Th¸i NhÊt Th¸p-Anh Hïng	295	TYT	CrossYXState5	18	27
Sè lÇn më ¶i 3 Th¸i NhÊt Th¸p-Anh Hïng	296	TYT	OpenYXState6	18	28
Sè lÇn v­ît qua ¶i 3 Th¸i NhÊt Th¸p-Anh Hïng	297	TYT	CrossYXState6	18	29
Sè lÇn më ¶i 1 PhÇn Thiªn L©m (D¹ng tiªu phÝ)	298	TYT	OpenCheatModel1	18	30
Sè lÇn më ¶i 2 PhÇn Thiªn L©m (D¹ng tiªu phÝ)	299	TYT	OpenCheatModel2	18	31
Sè lÇn më ¶i 3 PhÇn Thiªn L©m (D¹ng tiªu phÝ)	300	TYT	OpenCheatModel3	18	32
Sè lÇn më ¶i 1 Th¸i NhÊt Th¸p (D¹ng tiªu phÝ)	301	TYT	OpenCheatModel4	18	33
Sè lÇn më ¶i 2 Th¸i NhÊt Th¸p (D¹ng tiªu phÝ)	302	TYT	OpenCheatModel5	18	34
Sè lÇn më ¶i 3 Th¸i NhÊt Th¸p (D¹ng tiªu phÝ)	303	TYT	OpenCheatModel6	18	35
Sè lÇn më ¶i 3 PhÇn Thiªn L©m (MiÔn phÝ lËt thÎ)	304	TYT	FreeOpenCardState3	18	36
Sè lÇn më ¶i 3 PhÇn Thiªn L©m (Thu phÝ lËt thÎ)	305	TYT	IBOpenCardState3	18	37
Sè lÇn më ¶i 3 Th¸i NhÊt Th¸p (MiÔn phÝ lËt thÎ)	306	TYT	FreeOpenCardState6	18	38
Sè lÇn më ¶i 3 Th¸i NhÊt Th¸p (Thu phÝ lËt thÎ)	307	TYT	IBOpenCardState6	18	39
Sè ng­êi tham gia d¹ng th­êng cña c¸c l­u ph¸i	308	TYT	RouteJoinPTCount	18	40
Sè ng­êi v­ît qua d¹ng th­êng cña c¸c l­u ph¸i	309	TYT	RouteCrossPTCount	18	41
Sè ng­êi tham gia d¹ng anh hïng cña c¸c l­u ph¸i	310	TYT	RouteJoinYXCount	18	42
Sè ng­êi v­ît qua d¹ng anh hïng cña c¸c l­u ph¸i	311	TYT	RouteCrossYXCount	18	43
Sè l­îng Viªm Linh Ti sinh ra tõ Th¸i NhÊt Th¸p	312	TYT	ItemYLSCount	18	44
Sè l­îng Da Ma Lang sinh ra tõ Th¸i NhÊt Th¸p	313	TYT	ItemMLPCount	18	45
Sè l­îng Da §Þa Long sinh ra tõ Th¸i NhÊt Th¸p	314	TYT	ItemDLPCount	18	46
Sè l­îng Th¸i NhÊt LÖnh sinh ra tõ Th¸i NhÊt Th¸p	315	TYT	ItemTILCount	18	47
